Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
RAF1	v-raf-1 murine leukemia viral oncogene homolog 1	5894	3:12583601-12664226	1	Yes	3p25.2	yes		"pilocytic astrocytoma, prostate"			"O, E"	Dom	"oncogene, fusion"	"T, A"	"SRGAP3, ESRP1"			"CCDS2612.1,CRAF,ENSG00000132155.11,NM_002880.3,NP_002871,NP_001341619.1,P04049,Raf-1,c-Raf"
RALGDS	ral guanine nucleotide dissociation stimulator	5900	9:133097720-133121176	2		9q34.2	yes		"PMBL, Hodgkin lymphoma,"			L	Dom	fusion	T	CIITA			"CCDS6959.1,ENSG00000160271.15,NM_006266.3,NP_006257,Q12967,RGDS,RGF,RalGEF"
RANBP2	RAN binding protein 2	5903	2:108719481-108785811	1	Yes	2q13	yes		inflammatory myofibroblastic tumour			M	Dom	"TSG, fusion"	T	ALK			"ADANE,ANE1,CCDS2079.1,ENSG00000153201.15,NM_006267.4,NP_006258,NUP358,P49792"
RAP1B	Ras-Related Protein Rap-1b	5908	12:68610839-68671901	2		12q15	yes		glioma			O		oncogene	"A, Mis"				"CCDS8984.1,DKFZp586H0723,ENSG00000127314.17,K-REV,P61224,RAL1B"
RAP1GDS1	"RAP1, GTP-GDP dissociation stimulator 1"	5910	4:98261518-98442334	1	Yes	4q23	yes		T-ALL			L	Dom	"oncogene, fusion"	T	NUP98			"CCDS47105.1,ENSG00000138698.14,NM_001100426.1,NP_001093896,P52306,SmgGDS"
RARA	"retinoic acid receptor, alpha"	5914	17:40309194-40356796	1		17q21.2	yes		APL			L	Dom	"oncogene, fusion"	T	"PML, ZBTB16, TRIM24, NUMA1, NPM1"			"CCDS11366.1,ENSG00000131759.17,NM_000964.3,NP_000955,NR1B1,P10276,RAR"
RASA1	RAS p21 protein activator 1	5921	5:87267888-87390927	1		5q14.3	yes		"lung SCC, oral SCC"			E		TSG	"N, F, S, Mis"				"CCDS34200.1,CM-AVM,ENSG00000145715.14,GAP,NM_002890.2,NP_002881,P20936,RASA,p120,p120GAP,p120RASGAP"
RB1	retinoblastoma gene	5925	13:48303726-48481890	1	Yes	13q14.2	yes	yes	"retinoblastoma, sarcoma, breast, small cell lung carcinoma"	"retinoblastoma, sarcoma, breast, small cell lung carcinoma"	familial retinoblastoma	"L, E, M, O"	Rec	TSG	"D, Mis, N, F, S"				"CCDS31973.1,ENSG00000139687.14,NM_000321.2,NP_000312,OSRC,P06400,PPP1R130,RB"
RBM10	RNA binding motif protein 10	8241	X:47145447-47186812	1	Yes	Xp11.3	yes		lung adenocarcinoma			E	Rec/X	TSG	"Mis, F, N"		yes	TARP syndrome	"CCDS75969.1,DXS8237E,ENSG00000182872.15,GPATC9,GPATCH9,KIAA0122,NM_001204468.1,NP_001191397,P98175,S1-1,ZRANB5"
RBM15	RNA binding motif protein 15	64783	1:110338506-110346677	1		1p13.3	yes		acute megakaryocytic leukaemia			L	Dom	fusion	T	MKL1			"CCDS822.1,ENSG00000162775.14,OTT,OTT1,Q96T37"
RECQL4	RecQ protein-like 4	9401	8:144511291-144517826	1	Yes	8q24.3		yes		"osteosarcoma, skin basal cell, skin sqamous cell"	Rothmund-Thompson syndrome	M	Rec	"oncogene, TSG"	"N, F, S"				"CCDS75804.1,ENSG00000160957.12,NM_004260.3,NP_004251,NP_004251.3,O94761,RecQ4"
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	5966	2:60881521-60931610	1		2p16.1	yes		Hodgkin lymphoma			L	Dom	oncogene	A				"CCDS1864.1,ENSG00000162924.14,I-Rel,NM_002908.3,NP_002899,Q04864,c-Rel"
RET	ret proto-oncogene	5979	10:43077027-43130351	1	Yes	10q11.21	yes	yes	"medullary thyroid, papillary thyroid, pheochromocytoma, NSCLC, Spitzoid tumour"	"medullary thyroid,  papillary thyroid, pheochromocytoma"	multiple endocrine neoplasia 2A/2B	"E, O"	Dom	"oncogene, fusion"	"T, Mis, N, F"	"H4, PRKAR1A, NCOA4, PCM1, GOLGA5, TRIM33, KTN1, TRIM27, HOOK3, KIF5B, CCDC6"	yes	Hirschsprung disease	"CCDS7200.1,CDHF12,CDHR16,ENSG00000165731.18,HSCR1,MEN2A,MEN2B,MTC1,NM_020975.4,NP_066124,P07949,PTC,RET51"
RFWD3	ring finger and WD repeat domain 3	55159	16:74621394-74666881	2		16q23.1	yes	yes	lung cancer		Fanconi anemia W	E		TSG	D				"CCDS32486.1,ENSG00000168411.13,FANCW,FLJ10520,NM_018124.3,NP_060594,Q6PCD5,RNF201"
RGPD3	RANBP2-like and GRIP domain containing 3	653489	2:106404990-106468376	2		2q12.2	yes		endometrioid adenocarcinoma			E			Mis				"A6NKT7,CCDS46379.1,ENSG00000153165.18,NM_001144013.1,NP_001137485,RGP3"
RGS7	regulator of G protein signaling 7	6000	1:240775515-241357230	2		1q43	yes		melanoma			E			Mis				"CCDS31071.1,ENSG00000182901.16,NM_002924.5,NP_002915,P49802"
RHOA	ras homolog family member A	387	3:49359145-49412202	1	Yes	3p21.31	yes		"diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma"			"E, L"	Dom	"oncogene, TSG"	"Mis, F, O"				"ARH12,ARHA,CCDS2795.1,ENSG00000067560.10,NM_001664.3,NP_001300870,NP_001655,NP_001300874.1,NP_001300873.1,P61586,RHOH12,Rho12,RhoA"
RHOH	ras homolog family member H	399	4:40196907-40246967	1	Yes	4p14	yes		NHL			L	Dom	"TSG, fusion"	T	BCL6			"ARHH,CCDS3458.1,ENSG00000168421.12,Q15669,RhoH,TTF"
RICTOR	Rapamycin-Insensitive Companion of mTOR	253260	5:38940020-39074399	1		5p13.1	yes		lung SCC			E		oncogene	A				"AVO3,CCDS68861.1,ENSG00000164327.12,KIAA1999,MGC39830,NM_001285439.1,NP_001272368,PIA,Q6R327"
RMI2	RecQ mediated genome instability 2	116028	16:11345431-11351762	1		16p13.13	yes		"PMBL, Hodgkin lymphoma"			L	Dom	"TSG, fusion"	T	CIITA			"BLAP18,C16orf75,CCDS10548.1,ENSG00000175643.8,MGC24665,NM_152308.2,NP_689521,Q96E14"
RNF213	ring finger protein 213	57674	17:80260868-80398786	1	Yes	17q25.3	yes		ALCL			L	Dom	fusion	T	ALK			"ALO17,C17orf27,CCDS58606.1,ENSG00000173821.19,KIAA1554,KIAA1618,MYMY2,NET57,NM_001256071.2,NP_001243000"
RNF43	ring finger protein 43	54894	17:58353676-58417533	1	Yes	17q22	yes		"cholangiocarcinoma, ovary, pancreas"			E	Rec	TSG	"Mis, N, F, S"				"CCDS11607.1,DKFZp781H0392,ENSG00000108375.12,FLJ20315,NP_001292473.1,Q68DV7,URCC"
ROBO2	roundabout guidance receptor 2	6092	3:75906695-77647510	2		3p12.3	yes		"colorectal adenocarcinoma, melanoma"			E		TSG	F				"CCDS54609.1,ENSG00000185008.17,KIAA1568,NM_001128929.3,NP_001122401,Q9HCK4"
ROCK1	Rho associated coiled-coil-containing protein kinase 1	6093	18:20946906-21111851	2		18q11.1	yes		pancreatic ductal adenocarcinoma			E		oncogene	A				"CCDS11870.2,ENSG00000067900.7,NM_005406.2,NP_005397,Q13464,p160ROCK"
ROS1	v-ros UR2 sarcoma virus oncogene homolog 1 (avian)	6098	6:117288300-117425855	1	Yes	6q22.1	yes		"glioblastoma, NSCLC, Spitzoid tumour, cholangiocarcinoma, borderline ovarian"			"O, E"	Dom	"oncogene, fusion"	T	"GOPC, SDC4, SLC34A2, EZR, LRIG3, HLA-A, MYO5A, PPFIBP1, ERC1, CLIP1, TPM3, ZCCHHC8, KIAA1598, PWWP2A"			"CCDS5116.1,ENSG00000047936.10,MCF3,NM_002944.2,NP_002935,P08922,ROS,c-ros-1"
RPL10	ribosomal protein L10	6134	X:154398230-154402339	1		Xq28	yes		T-ALL			L	Dom	TSG	Mis				"CCDS14746.1,DXS648,DXS648E,ENSG00000147403.16,FLJ23544,L10,NM_006013.4,NOV,NP_001290554,NP_006004,P27635,QM"
RPL22	ribosomal protein L22 (EAP)	6146	1:6185020-6199612	1		1p36.31	yes		"AML, CML"			L	Dom	"TSG, fusion"	T	RUNX1			"CCDS58.1,EAP,ENSG00000116251.9,L22,NM_000983.3,NP_000974,P35268"
RPL5	ribososomal protein L5	6125	1:92831983-92841924	1	Yes	1p22.1	yes		T-ALL			L	Dom	TSG	"Mis, N, F"		yes	Diamond-Blackfan anaemia	"CCDS741.1,ENSG00000122406.13,L5,PPP1R135,uL18"
RPN1	ribophorin I	6184	3:128619970-128650849	1		3q21.3	yes		AML			L	Dom	fusion	T	MECOM			"CCDS3051.1,ENSG00000163902.11,NM_002950.3,NP_002941,OST1,P04843"
RRAS2	Ras related 2	22800	11:14278750-14359184	1		11p15.2	yes		intracranial germ cell tumour			O		oncogene	Mis				"CCDS7814.1,ENSG00000133818.13,NM_012250.5,NP_036382,P62070,TC21"
RSPO2	R-spondin 2	340419	8:107899317-108083648	1		8q23.1	yes		colorectal			E	Dom	"TSG, fusion"	T	EIF3E			"CCDS6307.1,ENSG00000147655.10,MGC35555,NM_178565.4,NP_848660,Q6UXX9"
RSPO3	R-spondin 3	84870	6:127118604-127197296	1		6q22.33	yes		colorectal			E	Dom	"oncogene, fusion"	T	PTPRK			"CCDS5135.1,ENSG00000146374.13,FLJ14440,NM_032784.4,NP_116173,Q9BXY4,THSD2"
RUNX1	runt-related transcription factor 1  (AML1)	861	21:34787801-35049344	1		21q22.12	yes		"AML, pre B-ALL, T-ALL"			L	Dom	"oncogene, TSG, fusion"	T	"RPL22, MECOM, CBFA2T3, RUNX1T1, ETV6, AFF3"			"AML1,AMLCR1,CBFA2,CCDS13639.1,ENSG00000159216.18,PEBP2A2,Q01196"
RUNX1T1	"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)"	862	8:91954967-92095654	1	Yes	8q21.3	yes		AML			L	Dom	"oncogene, TSG, fusion"	T	"KMT2A, RUNX1"			"AML1T1,CBFA2T1,CCDS75766.1,CDR,ENSG00000079102.16,ETO,MTG8,NM_001198679.1,NP_001185608,ZMYND2"
RXRA	Retinoid X receptor alpha	6256	9:134326580-134437019	1	Yes	9q34.2	yes		bladder carcinoma			E		TSG	"F, Mis, N"				"CCDS35172.1,ENSG00000186350.9,NM_002957.5,NP_002948,NP_001278850.1,NP_001278849.1,NR2B1,P19793"
S100A7	S100 calcium binding protein A7	6278	1:153457744-153460701	2		1q21.3	yes		"melanoma, T-cell lymphoma"			"L, O"		fusion	T	VAV1			"CCDS1039.1,ENSG00000143556.8,NM_002963.3,NP_002954,P31151,PSOR1,S100A7c"
SALL4	spalt like transcription factor 4	57167	20:51782331-51802520	1	Yes	20q13.2	yes		"colorectal cancer, breast cancer, prostate cancer, glioblastoma, melanoma"			E		oncogene	"Mis, F"			Duane-radial ray syndrome	"CCDS13438.1,ENSG00000101115.12,NM_020436.4,NP_065169,Q9UJQ4,ZNF797,dJ1112F19.1"
SBDS	Shwachman-Bodian-Diamond syndrome protein	51119	7:66987677-66995601	1		7q11.21		yes		"AML, MDS"	Schwachman-Diamond syndrome	L	Rec	TSG	"F, N, O"				"CCDS5537.1,CGI-97,ENSG00000126524.9,FLJ10917,NM_016038.3,NP_057122.2,Q9Y3A5,SDS,SWDS"
SDC4	syndecan 4	6385	20:45325288-45348424	1		20q13.12	yes		NSCLC			E	Dom	fusion	T	ROS1			"CCDS13350.1,ENSG00000124145.6,NM_002999.3,NP_002990,P31431,SYND4,amphiglycan,ryudocan"
SDHA	"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"	6389	5:218241-256700	1	Yes	5p15.33	yes	yes	"GIST, paraganglioma"	paraganglioma	paragangliomas-5 (PGL5)	"M, O"	Rec	TSG	"Mis, N"				"CCDS3853.1,ENSG00000073578.16,FP,NM_004168.3,NP_004159,P31040,SDH2,SDHF"
SDHAF2	succinate dehydrogenase complex assembly factor 2	54949	11:61430073-61447529	1	Yes	11q12.2		yes		paraganglioma	paraganglioma syndrome 2	M	Rec	TSG	Mis				"C11orf79,CCDS8007.1,ENSG00000167985.6,FLJ20487,NM_017841.2,NP_060311,PGL2,Q9NX18,SDH5"
SDHB	"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"	6390	1:17018722-17054170	1		1p36.13		yes		"paraganglioma, pheochromocytoma"	familial paraganglioma	O	Rec	TSG	"Mis, N, F"				"CCDS176.1,ENSG00000117118.9,NM_003000.2,NP_002991,P21912,SDH,SDH1"
SDHC	"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa"	6391	1:161314257-161375340	1		1q23.3		yes		"paraganglioma, pheochromocytoma"	familial paraganglioma	O	Rec	TSG	"Mis, N, F"				"CCDS1230.1,CYB560,ENSG00000143252.14,NM_003001.3,NP_002992,PGL3,Q99643,cybL"
SDHD	"succinate dehydrogenase complex, subunit D, integral membrane protein"	6392	11:112086773-112095794	1		11q23.1		yes		"paraganglioma, pheochromocytoma"	familial paraganglioma	O	Rec	TSG	"Mis, N, F, S"				"CCDS31678.1,ENSG00000204370.10,NM_003002.3,NP_002993,O14521,PGL,PGL1,cybS"
SEPT5	septin 5	5413	22:19714464-19723319	2		22q11.21	yes		AML			L	Dom	fusion	T	KMT2A			"CCDS13764.1,ENSG00000184702.19,H5,HCDCREL-1,NM_002688.5,NP_002679,PNUTL1,Q99719"
SEPT6	septin 6	23157	X:119617639-119693370	2		Xq24	yes		AML			L	Dom	fusion	T	KMT2A			"CCDS14584.1,ENSG00000125354.22,KIAA0128,MGC16619,MGC20339,NM_015129.5,NP_055944,Q14141,SEP2,SEPT2"
SEPT9	septin 9	10801	17:77281410-77500592	2		17q25.3	yes		AML*			L	Dom	fusion	T	KMT2A			"AF17q25,CCDS45790.1,ENSG00000184640.17,KIAA0991,MSF,MSF1,NM_001113491.1,NP_001106963,PNUTL4,Q9UHD8,SeptD1"
SET	SET translocation	6418	9:128683655-128696400	1		9q34.11	yes		T-ALL			L	Dom	fusion	T	NUP214			"2PP2A,CCDS48037.1,ENSG00000119335.16,IGAAD,IPP2A2,NM_001122821.1,NP_001116293,PHAPII,Q01105,TAF-I,TAF-IBETA"
SETBP1	SET binding protein 1	26040	18:44680898-45068510	1	Yes	18q12.3	yes	yes	"aCML, sAML, MDS/MPN-U, CMML, JMML"	neuroepithelial tumours	Schinzel-Giedion syndrome	L	Dom	"oncogene, fusion"	"Mis, T"	NUP98			"CCDS11923.2,ENSG00000152217.17,KIAA0437,NM_015559.2,NP_056374,Q9Y6X0,SEB"
SETD1B	SET domain containing 1B	23067	12:121804180-121830239	2		12q24.31	yes		"CRC, endometrium"			E		TSG	"D, F"				"ENSG00000139718.10,KIAA1076,KMT2G,NP_001340274.1,Q9UPS6,Set1B"
SETD2	SET domain containing 2	29072	3:47016689-47163967	1	Yes	3p21.31	yes		clear cell renal carcinoma			E	Rec	TSG	"N, F, S, Mis"				"CCDS2749.2,ENSG00000181555.20,FLJ23184,HIF-1,HYPB,KIAA1732,KMT3A,NM_014159.6,NP_054878,NP_001336299.1,Q9BYW2"
SETDB1	SET domain bifurcated 1	9869	1:150926339-150964735	2		1q21.3	yes		malignant mesothelioma			E		oncogene	"F, Mis"				"CCDS44217.1,ENSG00000143379.12,ESET,KG1T,KIAA0067,KMT1E,NM_001145415.1,NP_001138887,Q15047,TDRD21"
SF3B1	"splicing factor 3b, subunit 1, 155kDa"	23451	2:197389784-197435091	1	Yes	2q33.1	yes		myelodysplastic syndrome			L	Dom	oncogene	Mis				"CCDS33356.1,ENSG00000115524.15,Hsh155,NM_012433.3,NP_036565,O75533,PRPF10,Prp10,SAP155,SF3b155"
SFPQ	splicing factor proline/glutamine rich(polypyrimidine tract binding protein associated)	6421	1:35182932-35193148	1	Yes	1p34.3	yes		papillary renal			E	Dom	"TSG, fusion"	T	TFE3			"CCDS388.1,ENSG00000116560.10,NM_005066.2,NP_005057,P23246,PPP1R140,PSF"
SFRP4	secreted frizzled related protein 4	6424	7:37905932-37916915	1		7p14.1	yes		"colorectal cancer, melanoma, SCC, gastric cancer, oesophageal SCC"			E	Rec	TSG	Mis		yes	Pyle disease	"CCDS5453.1,ENSG00000106483.11,FRP-4,FRPHE,FRZB-2,NM_003014.3,NP_003005,Q6FHJ7,frpHE"
SGK1	serum/glucocorticoid regulated kinase 1	6446	6:134169246-134318058	2		6q23.2	yes		Nodular lymphocyte predominant Hodgkin lymphoma			L		oncogene	Mis				"CCDS47476.1,ENSG00000118515.11,NM_001143676.1,NP_001137148,O00141,SGK"
SH2B3	SH2B adaptor protein 3	10019	12:111405948-111451623	1	Yes	12q24.12	yes		"MPN, sAML, erythrocytosis, B-ALL"			L	Rec	TSG	"Mis, F, N"		yes	"Coeliac disease type 13; diabetes mellitus, insulin-dependent;"	"CCDS9153.1,ENSG00000111252.10,IDDM20,LNK,NM_005475.2,NP_005466,Q9UQQ2"
SH3GL1	SH3-domain GRB2-like 1 (EEN)	6455	19:4360370-4400547	1		19p13.3	yes		AL			L	Dom	"oncogene, fusion"	T	KMT2A			"CCDS32874.1,CNSA1,EEN,ENSG00000141985.9,MGC111371,NM_003025.3,NP_003016,Q99961,SH3D2B,SH3P8"
SHTN1	KIAA1598	57698	10:116883377-117005577	2		10q25.3	yes		Spitzoid tumour			E	Dom	fusion	T	ROS1			"A0MZ66,CCDS44482.1,ENSG00000187164.19,KIAA1598,NM_001127211.2,NP_001120683,shootin-1,shootin1"
SIRPA	signal regulatory protein alpha	140885	20:1894508-1940592	2		20p13	yes		"HNSCC, colorectal cancer, Lung SCC"			E		TSG	"O, F"				"BIT,CCDS82593.1,CD172a,ENSG00000198053.11,MFR,MYD-1,P78324,P84,PTPNS1,SHPS-1,SHPS1,SIRP,SIRP-ALPHA-1,SIRPalpha,SIRPalpha2"
SIX1	SIX homeobox 1	6495	14:60643415-60649462	1	Yes	14q23.1	yes		Wilms tumour			O		oncogene	Mis				"CCDS9748.1,DFNA23,ENSG00000126778.9,Q15475"
SIX2	SIX homeobox 2	10736	2:45005161-45009430	2		2p21	yes		Wilms tumour			O		oncogene	Mis				"CCDS1822.1,ENSG00000170577.7,NM_016932.4,NP_058628,Q9NPC8"
SKI	SKI proto-oncogene	6497	1:2228695-2310119	2		1p36.33	yes		melanoma			E		oncogene	Mis				"CCDS39.1,ENSG00000157933.9,NM_003036.3,NP_003027,P12755"
SLC34A2	"solute carrier family 34 (sodium phosphate), member 2"	10568	4:25655844-25678748	1	Yes	4p15.2	yes		NSCLC			E	Dom	"TSG, fusion"	T	ROS1			"CCDS3435.1,ENSG00000157765.12,NAPI-3B,NM_006424.2,NP_006415,NP_006415.2,O95436"
SLC45A3	"solute carrier family 45, member 3"	85414	1:205657851-205680459	1		1q32.1	yes		prostate			E	Dom	fusion	T	"ETV1, ETV5, ELK4, ERG, BRAF"			"CCDS1458.1,ENSG00000158715.5,IPCA-2,IPCA-6,IPCA-8,NM_033102.2,NP_149093,PCANAP2,PCANAP6,PCANAP8,Q96JT2,prostein"
SMAD2	SMAD family member 2	4087	18:47808957-47930559	1	Yes	18q21.1	yes		"colorectal carcinoma, hepatocellular carcinoma"			E	Rec	TSG	"Mis, N"				"CCDS11934.1,ENSG00000175387.15,JV18-1,MADH2,MADR2,NM_005901.5,NP_005892,Q15796"
SMAD3	SMAD family member 3	4088	15:67065845-67195195	1	Yes	15q22.33	yes		"colorectal carcinoma, oral squamous cell carcinoma"			E	Rec	TSG	Mis				"CCDS10222.1,ENSG00000166949.15,HsT17436,JV15-2,MADH3,NM_005902.3,NP_005893,P84022"
SMAD4	SMAD family member 4	4089	18:51030213-51085039	1	Yes	18q21.2	yes	yes	"colorectal, pancreatic, small intestine"	gastrointestinal polyp	juvenile polyposis	E	Rec	TSG	"D, Mis, N, F"				"CCDS11950.1,DPC4,ENSG00000141646.13,MADH4,NM_005359.5,NP_005350,Q13485"
SMARCA4	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	6597	19:10960825-11062282	1	Yes	19p13.2	yes		"NSCLC, SCCOHT"			E	Rec	TSG	"F, N, Mis, S"				"BAF190,BRG1,CCDS12253.1,ENSG00000127616.18,FLJ39786,NM_003072.3,NP_003063,P51532,SNF2,SNF2-BETA,SNF2L4,SNF2LB,SWI2,hSNF2b"
SMARCB1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"	6598	22:23786963-23834505	1	Yes	22q11.23	yes	yes	malignant rhabdoid	malignant rhabdoid	rhabdoid predisposition syndrome	M	Rec	TSG	"D, N, F, S"				"BAF47,CCDS82699.1,ENSG00000099956.19,Ini1,NM_001317946.1,NP_001304875,PPP1R144,RDT,SNF5,SNF5L1,Sfh1p,Snr1,hSNFS"
SMARCD1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1"	6602	12:50084972-50100712	2		12q13.12	yes		breast			E	Rec	TSG	N				"BAF60A,CCDS8797.2,CRACD1,ENSG00000066117.14,NM_003076.4,NP_003067,Q96GM5,Rsc6p"
SMARCE1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1"	6605	17:40624962-40648864	1		17q21.2		yes		meningioma		O	Rec	TSG	"F, Mis, N"				"BAF57,CCDS11370.1,ENSG00000073584.19,NM_003079.4,NP_003070,Q969G3"
SMC1A	structural maintenance of chromosomes 1A	8243	X:53374149-53422728	2		Xp11.22	yes		AML			L		TSG	Mis		yes	Cornelia de Lange syndrome	"CCDS14352.1,DXS423E,ENSG00000072501.17,KIAA0178,NM_006306.3,NP_006297,Q14683,SB1.8,SMC1L1,Smcb"
SMO	smoothened homolog (Drosophila)	6608	7:129188872-129213545	1	Yes	7q32.1	yes		skin basal cell			E	Dom	oncogene	Mis				"CCDS5811.1,ENSG00000128602.9,FZD11,NM_005631.4,NP_005622,Q99835,SMOH"
SND1	staphylococcal nuclease and tudor domain containing 1	27044	7:127652180-128092607	1		7q32.1	yes		pancreas acinar carcinoma			E	Dom	"oncogene, fusion"	T	BRAF			"CCDS34747.1,ENSG00000197157.10,NM_014390.2,NP_055205,Q7KZF4,TDRD11,p100"
SNX29	RUN domain containing 2A	92017	16:11976738-12574289	2		16p13.13	yes		"PMBL, Hodgkin lymphoma"			L	Dom	fusion	T	CIITA			"CCDS10553.2,ENSG00000048471.13,FLJ12363,NM_032167.4,NP_115543,Q8TEQ0,RUNDC2A"
SOCS1	suppressor of cytokine signaling 1	8651	16:11254417-11256200	1	Yes	16p13.13	yes		"Hodgkin lymphoma, PMBL"			L	Rec	TSG	"F, O"				"CCDS10546.1,Cish1,ENSG00000185338.5,JAB,SOCS-1,SSI-1,TIP3"
SOS1	Ras/Rac guanine nucleotide exchange factor 1	6654	2:38981396-39121051	1	Yes	2p22.1	yes		"lung adenocarcinoma, follicular thyroid adenoma"			"E, O"		"oncogene, fusion"	"Mis, T"	ALK	yes	Noonan Syndrome	"CCDS1802.1,ENSG00000115904.12,GF1,GINGF,HGF,Q07889"
SOX2	SRY (sex determining region Y)-box 2	6657	3:181711924-181714436	1	Yes	3q26.33	yes		"NSCLC, oesophageal squamous cell carcinoma"			E	Dom	oncogene	A		yes	Microphthalmia and oesophageal atresia syndrome	"CCDS3239.1,ENSG00000181449.3,NM_003106.3,NP_003097,P48431"
SOX21	SRY-box 21	11166	13:94709622-94712399	2		13q32.1	yes		multiple myeloma			L		TSG	D				"CCDS9473.1,ENSG00000125285.5,NM_007084.3,NP_009015,Q9Y651,SOX25"
SPECC1	sperm antigen with calponin homology and coiled-coil domains 1	92521	17:20087022-20314755	2		17p11.2	yes		JMML			L	Dom	fusion	T	PDGFRB			"CCDS32590.1,CYTSB,ENSG00000128487.16,FLJ36955,HCMOGT-1,NM_001033553.2,NP_001028725,NSP,Q5M775"
SPEN	spen family transcriptional repressor	23013	1:15847864-15940460	1	Yes	1p36.21	yes		"SMZL, adenoid cystic carcinoma, DLBCL"			L	Rec	TSG	"F, Mis, N"				"CCDS164.1,ENSG00000065526.10,KIAA0929,MINT,NM_015001.2,NP_055816,Q96T58,RBM15C,SHARP"
SPOP	speckle type POZ protein	8405	17:49598884-49678110	1	Yes	17q21.33	yes	yes	"prostate, endometrial"	prostate cancer		E	Rec	TSG	Mis				"BTBD32,CCDS11551.1,ENSG00000121067.17,NM_003563.3,NP_003554,NP_001007227,O43791,TEF2"
SRC	"SRC proto-oncogene, non-receptor tyrosine kinase"	6714	20:37346154-37406050	1	Yes	20q11.23	yes		"colorectal cancer, endometrial carcinoma"			E	Dom	oncogene	"Mis, N"				"ASV,CCDS13294.1,ENSG00000197122.11,NP_005408.1,NP_938033.1,P12931,SRC1,c-src"
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	9901	3:8980591-9249379	2		3p25.3	yes		pilocytic astrocytoma			O	Dom	fusion	T	RAF1			"ARHGAP14,CCDS2572.1,ENSG00000196220.15,KIAA0411,MEGAP,NM_014850.3,NP_055665,O43295,SRGAP2,WRP"
SRSF2	serine/arginine-rich splicing factor 2	6427	17:76734115-76737333	1	Yes	17q25.1	yes		"MDS, CLL"			L	Dom	oncogene	Mis				"CCDS11749.1,ENSG00000161547.16,NM_003016.4,NP_003007,PR264,Q01130,SC-35,SC35,SFRS2,SFRS2A"
SRSF3	serine/arginine-rich splicing factor 3	6428	6:36594368-36605600	1		6p21.31	yes		follicular lymphoma			L	Dom	"oncogene, fusion"	T	BCL6			"CCDS4823.1,ENSG00000112081.16,NM_003017.4,NP_003008,P84103,SFRS3,SRp20"
SS18	"synovial sarcoma translocation, chromosome 18"	6760	18:26016253-26090625	1		18q11.2	yes		synovial sarcoma			M	Dom	fusion	T	"SSX1,  SSX2, SSX4"			"CCDS32807.1,ENSG00000141380.13,NM_001007559.2,NP_001007560,Q15532,SSXT,SYT"
SS18L1	synovial sarcoma translocation gene on chromosome 18-like 1	26039	20:62143795-62182484	1		20q13.33	yes		synovial sarcoma			M	Dom	fusion	T	SSX1			"CCDS13491.1,CREST,ENSG00000184402.14,KIAA0693,NM_198935.2,NP_945173,O75177"
SSX1	"synovial sarcoma, X breakpoint 1"	6756	X:48255317-48267444	1		Xp11.23	yes		synovial sarcoma			M	Dom	"oncogene, fusion"	T	SS18			"CCDS14290.1,CT5.1,ENSG00000126752.7,NM_005635.3,NP_005626,NP_001265620,Q16384"
SSX2	"synovial sarcoma, X breakpoint 2"	6757	X:52696896-52707161	1		Xp11.22	yes		synovial sarcoma			M	Dom	"oncogene, fusion"	T	SS18			"CCDS14345.2,CT5.2a,ENSG00000241476.8,HD21,HOM-MEL-40,MGC119055,MGC15364,MGC3884,NM_003147.5,NP_003138,NP_001265626.1,Q16385,SSX"
SSX4	"synovial sarcoma, X breakpoint 4"	6759	X:48383527-48393347	1		Xp11.23	yes		synovial sarcoma			M	Dom	"oncogene, fusion"	T	SS18			"CCDS35240.1,CT5.4,ENSG00000268009.5,NM_005636.3,NP_005627,O60224"
STAG1	stromal antigen 1	10274	3:136336233-136752368	2		3q22.3	yes		"colorectal cancer, AML"			"E, L"		TSG	"Mis, N"				"CCDS3090.1,ENSG00000118007.12,NM_005862.2,NP_005853,Q8WVM7,SA-1,SA1,SCC3A"
STAG2	stromal antigen 2	10735	X:123960519-124101498	1	Yes	Xq25	yes		"bladder carcinoma, glioblastoma, melanoma, Ewing's sarcoma, myeloid neoplasms"			"E, L, M, O"	Rec	TSG	"Mis, N, F, S"				"CCDS43990.1,ENSG00000101972.18,NM_001042749.2,NP_001036214,Q8N3U4,SA-2,SA2,SCC3B"
